player,runs,wickets,strike_rate,score
RA Jadeja,283.0,18.0,120.94017094017093,619.8
R Vinay Kumar,50.0,18.0,104.16666666666667,480.0
RP Singh,2.0,14.0,50.0,351.2
S Sreesanth,1.0,12.0,11.11111111111111,300.6
BJ Hodge,285.0,5.0,116.3265306122449,296.0
M Muralitharan,5.0,11.0,62.5,278.0
BB McCullum,357.0,0.0,122.26027397260273,214.2
DPMD Jayawardene,299.0,0.0,109.9264705882353,179.4
RV Gomez,46.0,4.0,88.46153846153845,127.6
PA Patel,202.0,0.0,106.87830687830689,121.19999999999999
P Parameswaran,1.0,4.0,100.0,100.6
